11,Total de la Entidad,1
11,Localidades de una vivienda,1
11,Localidades de dos viviendas,1
1,Total del Municipio,1
1,Ciudad de Armer’a,1
1,El Caminero,1
1,Cofrad’a de Ju‡rez,1
1,Cuyutl‡n,1
1,El Taco,1
1,Mar’a Dolores,1
1,Rancho Berrondo,1
1,Los Olivos,1
1,El Para’so [Balneario],1
1,El Puertecito,1
1,Rinc—n de L—pez,1
1,San Felipe,1
1,Santander,1
1,Los Reyes (Zorrillos),1
1,Augusto G—mez Villanueva (Coalatilla),1
1,La Atravesada,1
1,La Tropicana,1
1,Excaltit‡n,1
1,Rancho Blanco,1
1,Los Camichines,1
1,Los Rosales,1
1,Rancho Caraballo,1
1,Chulavista,1
1,El Arriero,1
1,El Establo,1
1,La Ca–ita,1
1,Las Humedades,1
1,La Canoa,1
1,El Roc’o,1
1,El Caballero,1
1,San Jos_,1
1,El Para’so,1
1,Colonia Sagrado Coraz—n,1
1,Las Cuatas,1
1,La Esmeralda (El Garrotero),1
1,Gerardo Ch‡vez,1
1,Rancho C‡ndida,1
1,El Piol’n,1
1,La Providencia,1
1,El Algodonal (Pascual Moreno),1
1,El Pante—n,1
1,Charco Verde,1
1,El Lucero,1
1,El Polvor’n,1
1,El Pozo,1
1,Oscar Verduzco,1
1,Rancho del Cura,1
1,Juan L—pez,1
1,El Tecu‡n,1
1,Rinc—n del Diablo (Tom‡s Paul’n Nava),1
1,Fernando Hern‡ndez,1
1,Vicente L—pez [Coheter’a],1
1,Rancho Para’so,1
1,Cofrad’a de Ju‡rez,1
1,La Huerta Regada,1
1,La Estampida (Miguel Cuevas),1
1,Rancho de Gil,1
1,Rinc—n de L—pez,1
1,Ignacio Alcaraz,1
1,Jesœs Cano,1
1,Paula Bonilla,1
1,El Pochote,1
1,Rafael Mora,1
1,El Rinc—n del Tecu‡n,1
1,Chuy Mendoza,1
1,Jos_ Covarrubias,1
1,Los Laureles,1
1,Mal Paso,1
1,La Tilapia,1
1,Colonia Flor de Coco,1
1,Cofrad’a de Ju‡rez,1
1,Jos_ Trinidad Pimentel,1
1,El Barandal,1
1,Cofrad’a de Ju‡rez,1
1,Don Candelario,1
1,El Capricho,1
1,Las Palmas [Granja],1
1,La Columnaria,1
1,Alejandro Mart’nez,1
1,Alejandro Valdovinos,1
